date;humidity;temperature;pressure;pm1.0_atm;pm1.0_atm_a;pm1.0_atm_b;pm2.5_atm;pm2.5_atm_a;pm2.5_atm_b;pm10.0_atm;pm10.0_atm_a;pm10.0_atm_b
31/10/2024 10:00;42.1;2.672.222.222;752.363;34.4;34.622;34.178;51.613;51.948;51.278;677.685;68.549;66.988
31/10/2024 11:00;35.978;2.802.777.778;751.746;259.455;26.069;25.822;37.378;37.382;37.374;46.745;46.834;46.656
31/10/2024 12:00;42.337;27.105;751.131;296.795;29.647;29.712;42.429;42.163;42.695;540.375;53.889;54.186
31/10/2024 13:00;46.633;2.595.666.667;750.42;24.598;24.448;24.748;33.508;33.221;33.795;39.716;39.448;39.984
31/10/2024 14:00;47.055;2.475.277.778;749.891;183.985;18.24;18.557;24.394;24.192;24.596;28.351;28.211;28.491
31/10/2024 15:00;55.178;2.248.444.444;749.861;188.535;18.641;19.066;24.135;23.605;24.665;272.055;26.526;27.885
31/10/2024 16:00;63.402;1.969.944.444;750.396;11.294;11.239;11.349;143.335;14.296;14.371;16.819;16.893;16.745
31/10/2024 17:00;68.334;1.853.722.222;751.013;115.215;11.468;11.575;14.604;14.562;14.646;169.925;17.182;16.803
31/10/2024 18:00;66.881;1.901.222.222;751.367;12.447;12.261;12.633;155.075;15.329;15.686;174.485;17.271;17.626
31/10/2024 19:00;67.467;19.065;751.905;18.749;18.634;18.864;24.34;24.212;24.468;286.555;28.605;28.706
31/10/2024 20:00;67.347;1.948.944.444;752.555;250.345;24.968;25.101;339.755;33.748;34.203;417.605;41.376;42.145
31/10/2024 21:00;67.464;1.948.611.111;752.881;25.941;25.706;26.176;352.045;34.89;35.519;440.475;44.019;44.076
31/10/2024 22:00;65.667;19.5;752.985;235.985;23.513;23.684;322.555;32.074;32.437;38.99;39.03;38.95
31/10/2024 23:00;66.967;18.815;753.011;19.762;19.795;19.729;25.758;25.62;25.896;29.286;29.457;29.115
1/11/2024 0:00;67.4;1.888.888.889;752.095;241.885;24.311;24.066;33.936;34.127;33.745;413.995;41.716;41.083
1/11/2024 1:00;67.334;1.883.333.333;751.219;228.275;22.993;22.662;317.045;31.906;31.503;37.305;37.715;36.895
1/11/2024 2:00;67.066;1.861.111.111;750.838;19.361;19.483;19.239;258.315;25.915;25.748;28.248;28.53;27.966
1/11/2024 3:00;66.966;1.833.333.333;750.72;174.215;17.434;17.409;224.885;22.541;22.436;24.568;24.692;24.444
1/11/2024 4:00;67.3;1.770.388.889;750.829;206.385;20.62;20.657;279.465;27.87;28.023;30.941;30.746;31.136
1/11/2024 5:00;67.434;1.781.444.444;751.362;24.547;24.498;24.596;340.205;33.914;34.127;417.925;41.808;41.777
1/11/2024 6:00;66.6;1.840.722.222;752.03;28.332;28.141;28.523;39.428;39.195;39.661;498.335;49.904;49.763
1/11/2024 7:00;63.067;2.022.222.222;752.326;307.845;30.785;30.784;45.4;45.453;45.347;59.201;59.517;58.885
1/11/2024 8:00;55.867;23;752.743;37.478;37.347;37.609;532.675;53.152;53.383;68.268;68.487;68.049
1/11/2024 9:00;41.591;2.669.444.444;753.055;232.255;23.169;23.282;318.735;31.776;31.971;374.025;37.337;37.468
1/11/2024 10:00;38.233;28.435;753.054;17.981;17.586;18.376;23.587;23.063;24.111;263.325;26.211;26.454
1/11/2024 11:00;35.25;2.923.611.111;752.176;146.675;14.524;14.811;17.732;17.264;18.2;19.406;18.703;20.109
1/11/2024 12:00;40.792;2.733.777.778;751.207;13.593;13.476;13.71;17.465;17.093;17.837;19.232;19.146;19.318
1/11/2024 13:00;43.5;2.611.111.111;750.685;192.325;19.075;19.39;244.625;23.74;25.185;268.625;25.7;28.025
1/11/2024 14:00;48;2.444.444.444;750.59;16.025;15.31;16.74;19.33;18.76;19.9;20.55;20.36;20.74
1/11/2024 15:00;48;2.388.888.889;749.955;149.225;14.56;15.285;181.825;17.46;18.905;204.525;18.945;21.96
1/11/2024 20:00;60.489;1.954.333.333;752.264;116.205;11.533;11.708;14.963;14.965;14.961;171.345;17.539;16.73
2/11/2024 1:00;60;1.925.944.444;751.33;77.085;7.467;7.95;98.415;9.363;10.32;11.025;10.643;11.407
2/11/2024 2:00;61;1.944.444.444;751.26;7.43;7.5;7.36;9.75;9.45;10.05;10.695;10.36;11.03
2/11/2024 9:00;33;2.833.333.333;753.12;6.585;6.62;6.55;7.935;7.78;8.09;8.835;8.67;9
18/11/2024 16:00;49;2.277.777.778;749.33;24.46;24.22;24.7;33.78;33.14;34.42;41.605;41.66;41.55
18/11/2024 17:00;54.35;2.150.888.889;749.737;25.899;25.741;26.057;36.498;36.207;36.789;45.639;45.357;45.921
18/11/2024 18:00;56.708;2.091.666.667;750.712;260.995;25.901;26.298;36.836;36.536;37.136;461.905;46.029;46.352
18/11/2024 19:00;57.1;2.101.833.333;751.382;25.344;25.238;25.45;36.208;36.135;36.281;453.985;45.757;45.04
18/11/2024 20:00;56.6;21.185;751.962;27.4;27.341;27.459;39.618;39.542;39.694;506.385;50.892;50.385
18/11/2024 21:00;60.1;2.055.555.556;752.461;252.915;25.313;25.27;35.543;35.549;35.537;441.405;44.539;43.742
18/11/2024 22:00;62.4;2.005.555.556;752.501;18.267;18.337;18.197;23.398;23.542;23.254;256.865;26.129;25.244
18/11/2024 23:00;62.842;1.976.388.889;752.516;189.375;18.855;19.02;251.365;24.964;25.309;27.936;27.933;27.939
19/11/2024 0:00;66.334;1.807.388.889;752.542;11.544;11.576;11.512;144.335;14.436;14.431;162.445;16.375;16.114
