date,humidity,pm1.0_atm,pm1.0_atm_a,pm1.0_atm_b,pm10.0_atm,pm10.0_atm_a,pm10.0_atm_b,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b,pressure,temperature
2024-04-01 10:00:00,42.0,28.985,29.71,28.26,56.38,57.62,55.14,44.045,45.0,43.09,754.13,25.55555556
2024-04-01 11:00:00,37.433,25.4565,26.184,24.729,44.463,45.252,43.674,36.9875,37.763,36.212,753.704,27.94444444
2024-04-01 12:00:00,42.967,27.91,28.66,27.16,52.3585,52.826,51.891,41.5315,42.241,40.822,753.151,25.98166667
2024-04-01 13:00:00,43.566,28.138,28.823,27.453,53.1785,53.879,52.478,42.3355,43.008,41.663,752.358,25.92555556
2024-04-01 14:00:00,38.2,32.0815,32.893,31.27,61.9725,62.758,61.187,48.3275,49.117,47.538,751.451,27.53722222
2024-04-01 15:00:00,59.1,24.484,25.52,23.448,44.727,45.782,43.672,35.979,37.017,34.941,751.734,22.51888889
2024-04-01 16:00:00,60.967,19.2365,20.319,18.154,30.63,31.998,29.262,27.2865,28.602,25.971,751.595,20.75944444
2024-04-01 17:00:00,59.966,16.2575,17.295,15.22,24.911,25.852,23.97,22.7315,23.822,21.641,752.053,19.88888889
2024-04-01 18:00:00,60.833,18.861,19.922,17.8,29.9015,30.666,29.137,26.942,28.026,25.858,752.577,20.12944444
2024-04-01 19:00:00,60.5,21.652,22.673,20.631,38.4365,39.532,37.341,32.0955,33.077,31.114,753.351,20.44444444
2024-04-01 20:00:00,60.434,21.8255,22.732,20.919,37.1355,38.41,35.861,31.8615,32.733,30.99,754.221,20.83333333
2024-04-01 21:00:00,60.567,22.7455,23.544,21.947,39.9845,41.065,38.904,33.3055,34.227,32.384,754.667,21.01833333
2024-04-01 22:00:00,61.2,24.225,25.389,23.061,43.8215,45.112,42.531,35.5885,36.621,34.556,754.741,20.815
2024-04-01 23:00:00,61.4,25.165,26.279,24.051,45.7905,46.708,44.873,36.963,37.942,35.984,754.322,20.72222222
2024-04-02 00:00:00,62.533,25.033,26.107,23.959,46.6025,47.557,45.648,37.3655,38.279,36.452,753.681,20.20388889
2024-04-02 01:00:00,61.933,24.566,25.526,23.606,44.671,45.477,43.865,36.4265,37.229,35.624,753.087,20.25944444
2024-04-02 02:00:00,58.067,23.2255,24.037,22.414,40.8165,41.561,40.072,34.1265,34.876,33.377,752.87,20.48166667
2024-04-02 03:00:00,57.067,25.6545,26.565,24.744,46.7315,47.261,46.202,38.0775,38.765,37.39,752.722,20.48166667
2024-04-02 04:00:00,56.2,27.823,28.535,27.111,51.7755,52.214,51.337,41.7025,42.287,41.118,752.95,20.315
2024-04-02 05:00:00,55.9,29.0555,29.959,28.152,53.933,54.569,53.297,43.3105,44.069,42.552,753.171,20.22222222
2024-04-02 06:00:00,53.167,32.682,33.617,31.747,62.688,63.264,62.112,49.158,49.927,48.389,753.502,20.44444444
2024-04-02 07:00:00,54.1,33.029,34.033,32.025,62.784,63.501,62.067,49.266,50.12,48.412,754.288,21.0
2024-04-02 08:00:00,43.567,31.5795,32.502,30.657,59.4985,60.121,58.876,47.0265,47.844,46.209,754.566,23.94444444
2024-04-02 09:00:00,41.867,29.3945,30.453,28.336,54.4625,55.468,53.457,43.6425,44.595,42.69,754.43,24.5
2024-04-02 10:00:00,39.8,29.762,30.748,28.776,54.7875,55.851,53.724,44.0335,44.968,43.099,753.939,25.66666667
2024-04-02 11:00:00,34.6,30.4895,31.67,29.309,55.159,56.135,54.183,44.5645,45.8,43.329,753.309,28.11111111
2024-04-02 12:00:00,33.95,28.053,28.943,27.163,50.828,51.183,50.473,41.079,41.818,40.34,752.602,27.74055556
2024-04-02 13:00:00,33.067,27.318,28.305,26.331,49.271,49.993,48.549,39.772,40.739,38.805,751.863,27.44444444
2024-04-02 14:00:00,41.733,31.1705,32.478,29.863,58.261,58.919,57.603,46.3075,47.391,45.224,751.189,25.51888889
2024-04-02 15:00:00,46.367,27.767,28.697,26.837,52.221,52.702,51.74,41.4755,42.319,40.632,751.073,24.88888889
2024-04-02 16:00:00,47.133,27.819,28.515,27.123,52.575,53.227,51.923,41.868,42.745,40.991,750.859,24.87055556
2024-04-02 17:00:00,51.533,26.0685,26.858,25.279,49.118,49.737,48.499,39.3315,40.122,38.541,751.232,23.48166667
2024-04-02 18:00:00,58.266,25.299,26.156,24.442,49.5245,49.883,49.166,39.0065,39.785,38.228,752.015,21.79611111
2024-04-02 19:00:00,59.034,26.922,27.479,26.365,52.7685,52.881,52.656,41.533,42.126,40.94,752.735,21.77777778
2024-04-02 20:00:00,59.2,29.337,29.911,28.763,59.342,59.48,59.204,45.7925,46.309,45.276,753.393,21.685
2024-04-02 21:00:00,59.966,30.756,31.373,30.139,63.897,64.082,63.712,48.3455,48.892,47.799,753.804,21.5
2024-04-02 22:00:00,57.934,29.5215,30.256,28.787,60.5675,60.79,60.345,46.3175,46.986,45.649,753.849,21.55555556
2024-04-02 23:00:00,57.0,28.835,29.466,28.204,59.42,59.681,59.159,45.3565,45.954,44.759,753.652,21.315
