date,humidity,pm1.0_atm,pm1.0_atm_a,pm1.0_atm_b,pm10.0_atm,pm10.0_atm_a,pm10.0_atm_b,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b,pressure,temperature
2022-02-01 12:00:00,24.9,22.0875,21.234,22.941,40.4195,39.477,41.362,33.854,32.302,35.406,750.41,24.903
2022-02-01 13:00:00,29.166,25.8185,24.925,26.712,48.577,47.947,49.207,39.324,37.685,40.963,749.739,25.037
2022-02-01 14:00:00,34.933,23.935,23.0,24.87,43.965,43.377,44.553,36.0045,34.425,37.584,749.4,23.722
2022-02-01 15:00:00,38.666,21.2165,20.282,22.151,36.2765,35.166,37.387,31.451,29.814,33.088,749.138,22.814
2022-02-01 16:00:00,43.5,21.2055,20.257,22.154,35.8995,34.84,36.959,31.2995,29.764,32.835,749.197,21.889
2022-02-01 17:00:00,50.4,21.7825,20.786,22.779,37.8465,36.551,39.142,32.371,30.637,34.105,749.665,19.759
2022-02-01 18:00:00,54.867,21.709,20.755,22.663,37.7475,36.483,39.012,32.5245,31.041,34.008,750.256,18.426
2022-02-01 19:00:00,56.1,22.6765,21.71,23.643,40.849,39.469,42.229,34.1365,32.389,35.884,750.836,18.333
2022-02-01 20:00:00,51.3,20.007,18.899,21.115,33.3585,32.029,34.688,29.3925,27.529,31.256,751.361,18.537
2022-02-01 21:00:00,51.167,20.6245,19.592,21.657,35.4055,34.363,36.448,30.526,28.809,32.243,751.708,18.556
2022-02-01 22:00:00,48.567,19.4475,18.34,20.555,30.815,29.527,32.103,27.936,25.883,29.989,751.649,18.111
2022-02-01 23:00:00,52.3,20.602,19.666,21.538,34.9435,34.056,35.831,30.6075,28.953,32.262,751.663,17.759
2022-02-02 00:00:00,57.3,19.7765,18.909,20.644,35.4095,34.803,36.016,30.4775,28.936,32.019,751.342,17.0
2022-02-02 01:00:00,58.2,20.5835,19.882,21.285,36.847,36.136,37.558,31.5815,30.13,33.033,750.873,16.871
2022-02-02 02:00:00,49.166,18.6745,17.815,19.534,30.241,29.497,30.985,27.5095,25.944,29.075,750.611,16.833
