date,humidity,temperature,pressure,pm1.0_atm,pm1.0_atm_a,pm1.0_atm_b,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b,pm10.0_atm,pm10.0_atm_a,pm10.0_atm_b
2024-10-31 12:00:00,40.5,28.88888889,751.32,26.358,27.238,25.478,38.8845,40.462,37.307,52.7955,57.806,47.785
2024-10-31 13:00:00,44.834,26.15277778,750.353,21.042,21.06,21.024,29.2825,29.752,28.813,34.1875,36.671,31.704
2024-10-31 14:00:00,46.883,24.80111111,749.798,19.3805,19.312,19.449,26.1895,26.698,25.681,29.3225,31.035,27.61
2024-10-31 15:00:00,58.35,21.91666667,749.69,17.609,17.573,17.645,23.3055,23.911,22.7,26.1595,27.979,24.34
2024-10-31 16:00:00,61.775,20.75,750.205,19.3275,19.158,19.497,25.931,26.407,25.455,30.479,32.608,28.35
2024-10-31 17:00:00,64.325,19.90277778,750.755,20.6105,20.587,20.634,28.7475,29.306,28.189,34.5555,37.289,31.822
2024-10-31 18:00:00,63.6,20.00444444,751.11,25.18,24.992,25.368,34.7905,35.261,34.32,41.0595,43.574,38.545
2024-10-31 19:00:00,62.308,20.505,751.67,24.7275,24.651,24.804,35.07,35.514,34.626,44.3335,46.897,41.77
2024-10-31 20:00:00,67.45,19.44222222,752.335,22.8395,22.686,22.993,32.0025,32.438,31.567,38.96,41.357,36.563
2024-10-31 21:00:00,65.4,19.25,752.663,21.7215,21.645,21.798,30.442,30.974,29.91,36.5405,39.511,33.57
2024-10-31 22:00:00,65.45,18.66666667,752.736,21.1935,21.215,21.172,29.9575,30.53,29.385,36.0445,39.191,32.898
2024-10-31 23:00:00,67.805,18.42444444,752.735,18.6815,18.739,18.624,26.861,27.683,26.039,32.6745,35.691,29.658
2024-11-01 00:00:00,65.833,18.94444444,751.814,19.8435,19.807,19.88,28.5025,29.027,27.978,33.2665,35.638,30.895
2024-11-01 01:00:00,64.066,19.35166667,750.947,22.874,22.649,23.099,33.148,33.334,32.962,40.471,42.736,38.206
2024-11-01 02:00:00,65.434,18.685,750.594,20.139,20.06,20.218,28.6695,29.146,28.193,32.4025,34.258,30.547
2024-11-01 03:00:00,66.9,18.11111111,750.442,19.5715,19.614,19.529,28.1495,28.816,27.483,32.105,34.779,29.431
2024-11-01 04:00:00,65.067,18.11111111,750.596,21.2595,21.115,21.404,30.052,30.553,29.551,35.6425,38.269,33.016
2024-11-01 05:00:00,66.7,17.63,751.138,22.5455,22.464,22.627,32.839,33.167,32.511,39.9995,42.723,37.276
2024-11-01 06:00:00,66.534,17.72222222,751.779,27.5775,27.359,27.796,41.392,41.587,41.197,54.5835,57.4,51.767
2024-11-01 07:00:00,57.333,20.685,752.086,34.265,34.154,34.376,54.024,54.677,53.371,70.3915,73.984,66.799
2024-11-01 08:00:00,50.291,22.61611111,752.506,36.6865,36.566,36.807,58.2305,59.048,57.413,73.027,76.442,69.612
2024-11-01 09:00:00,38.239,26.23277778,752.893,27.135,27.088,27.182,39.515,39.924,39.106,49.985,52.206,47.764
2024-11-01 10:00:00,40.003,25.11722222,752.817,17.1925,17.088,17.297,23.7225,24.033,23.412,28.3015,29.794,26.809
2024-11-01 11:00:00,38.917,26.94,752.132,18.0565,18.047,18.066,25.652,26.07,25.234,32.313,35.201,29.425
2024-11-01 12:00:00,43.358,25.61555556,751.226,19.496,19.58,19.412,27.8005,28.332,27.269,34.6,37.359,31.841
2024-11-01 13:00:00,44.65,24.91666667,750.702,18.9125,18.954,18.871,25.9685,26.557,25.38,30.969,33.239,28.699
2024-11-01 14:00:00,45.853,24.58777778,750.165,16.1935,16.217,16.17,21.147,21.817,20.477,23.52,25.147,21.893
2024-11-01 15:00:00,50.291,23.20833333,749.831,14.0765,13.897,14.256,18.7515,19.111,18.392,21.887,23.423,20.351
2024-11-01 16:00:00,47.734,22.86111111,749.913,12.0305,11.871,12.19,17.0145,17.32,16.709,23.938,26.82,21.056
2024-11-01 17:00:00,50.642,21.25,750.198,11.9445,11.814,12.075,19.9455,20.183,19.708,54.206,66.724,41.688
2024-11-01 18:00:00,54.291,20.83333333,750.798,10.8695,10.768,10.971,14.7245,15.018,14.431,17.4155,18.838,15.993
2024-11-01 19:00:00,55.156,20.81333333,751.494,18.861,18.812,18.91,26.863,27.438,26.288,34.424,37.438,31.41
2024-11-01 20:00:00,54.733,20.62944444,752.038,20.6,20.419,20.781,30.0065,30.405,29.608,39.2235,42.489,35.958
