date,humidity,pm1.0_atm,pm1.0_atm_a,pm1.0_atm_b,pm10.0_atm,pm10.0_atm_a,pm10.0_atm_b,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b,pressure,temperature
2024-03-22 13:00:00,21.2,32.729,32.903,32.555,58.7815,59.156,58.407,47.5825,47.996,47.169,750.84,31.74055556
2024-03-22 14:00:00,25.067,35.0625,35.028,35.097,62.9215,62.522,63.321,50.777,50.639,50.915,750.243,32.18555556
2024-03-22 15:00:00,30.2,33.688,33.838,33.538,60.2845,60.07,60.499,48.944,48.993,48.895,749.844,31.0
2024-03-22 16:00:00,33.233,30.957,31.181,30.733,55.2115,55.326,55.097,45.2205,45.434,45.007,749.631,29.85166667
2024-03-22 17:00:00,38.9,31.072,31.317,30.827,56.1165,56.183,56.05,45.7545,46.004,45.505,750.145,27.44444444
2024-03-22 18:00:00,47.334,32.698,33.01,32.386,60.619,60.852,60.386,48.798,49.138,48.458,750.808,24.48166667
2024-03-22 19:00:00,47.867,35.6225,35.96,35.285,66.1775,66.014,66.341,53.2865,53.41,53.163,751.529,24.5
2024-03-22 20:00:00,49.4,38.319,38.965,37.673,69.7595,69.673,69.846,57.2615,57.575,56.948,752.39,24.16666667
2024-03-22 21:00:00,49.466,38.778,39.482,38.074,70.6935,70.696,70.691,58.819,59.231,58.407,752.971,23.5
2024-03-22 22:00:00,42.734,44.1815,44.84,43.523,75.517,75.499,75.535,66.9575,67.503,66.412,752.966,24.13
2024-03-22 23:00:00,41.867,43.7045,44.288,43.121,75.715,75.636,75.794,66.91,67.048,66.772,752.781,23.51888889
2024-03-23 00:00:00,42.433,43.487,44.219,42.755,75.7315,75.805,75.658,67.136,67.497,66.775,752.221,23.11111111
2024-03-23 01:00:00,41.367,43.9735,44.66,43.287,77.0785,76.906,77.251,68.5935,68.84,68.347,751.95,23.12944444
2024-03-23 02:00:00,41.767,41.998,42.681,41.315,74.8975,74.773,75.022,65.616,65.793,65.439,751.519,22.27777778
2024-03-23 03:00:00,41.834,41.424,42.082,40.766,74.367,74.413,74.321,64.663,65.08,64.246,751.635,22.64833333
2024-03-23 04:00:00,42.783,44.0825,44.581,43.584,77.541,77.212,77.87,69.588,69.476,69.7,751.737,22.21277778
2024-03-23 05:00:00,42.267,43.0765,43.571,42.582,76.2705,75.934,76.607,67.883,67.782,67.984,752.191,22.62944444
2024-03-23 06:00:00,41.5,44.811,45.433,44.189,77.648,77.107,78.189,69.7505,69.425,70.076,752.652,22.66666667
2024-03-23 07:00:00,41.933,47.266,47.995,46.537,80.6885,80.352,81.025,73.7755,73.835,73.716,753.17,22.96333333
