date,humidity,pm1.0_atm,pm1.0_atm_a,pm1.0_atm_b,pm10.0_atm,pm10.0_atm_a,pm10.0_atm_b,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b,pressure,temperature
2024-03-07 11:00:00,37.66666666666666,29.0,,26.26333333333333,51.66333333333333,,51.89333333333334,43.17333333333334,,40.6,754.25,25.0
2024-03-07 12:00:00,31.525,28.572,29.971,27.173,50.2135,50.919,49.508,41.606,43.142,40.07,753.981,27.34222222
2024-03-07 13:00:00,26.291,26.267,27.629,24.905,45.4155,46.291,44.54,37.905,39.52,36.29,753.016,30.18944444
2024-03-07 14:00:00,23.834,22.853,24.058,21.648,36.213,37.463,34.963,32.2005,33.64,30.761,752.021,31.01833333
2024-03-07 15:00:00,24.355,23.969,25.235,22.703,39.132,40.099,38.165,33.8595,35.285,32.434,751.419,30.78388889
2024-03-07 16:00:00,27.078,24.2775,25.534,23.021,40.7375,41.483,39.992,34.654,36.161,33.147,751.125,28.74666667
2024-03-07 17:00:00,30.741,26.587,27.764,25.41,46.5975,46.889,46.306,38.5795,39.851,37.308,751.564,27.26888889
2024-03-07 18:00:00,46.025,33.831,35.413,32.249,64.636,64.892,64.38,51.2385,52.841,49.636,752.378,24.20833333
2024-03-07 19:00:00,47.166,34.443,36.221,32.665,65.958,66.07,65.846,52.38,54.275,50.485,753.244,23.87
2024-03-07 20:00:00,42.2,31.0985,32.617,29.58,58.205,58.501,57.909,46.925,48.596,45.254,753.886,24.315
2024-03-07 21:00:00,35.933,23.8225,24.82,22.825,42.087,41.861,42.313,35.4085,36.367,34.45,754.611,24.315
2024-03-07 22:00:00,38.033,24.903,26.09,23.716,44.984,44.878,45.09,37.2145,38.302,36.127,755.145,23.59277778
2024-03-07 23:00:00,38.267,25.3805,26.731,24.03,45.698,45.985,45.411,37.8195,39.111,36.528,754.773,23.35222222
2024-03-08 00:00:00,40.034,26.5185,27.657,25.38,48.483,48.38,48.586,39.8885,40.995,38.782,754.091,23.0
2024-03-08 01:00:00,41.284,26.959,28.102,25.816,49.6865,49.734,49.639,40.7285,41.971,39.486,753.698,22.50944444
2024-03-08 02:00:00,42.466,27.277,28.394,26.16,50.6935,50.806,50.581,41.5095,42.808,40.211,753.374,21.94444444
2024-03-08 03:00:00,39.633,26.0205,27.228,24.813,47.7875,47.597,47.978,39.3705,40.389,38.352,753.384,22.38277778
2024-03-08 04:00:00,39.584,26.735,28.006,25.464,49.626,49.825,49.427,40.517,41.972,39.062,753.462,22.34222222
2024-03-08 05:00:00,43.117,32.72,34.411,31.029,61.848,62.031,61.665,48.9395,50.529,47.35,753.973,21.26055556
2024-03-08 06:00:00,45.834,35.0505,37.309,32.792,65.8145,66.129,65.5,52.2075,54.301,50.114,754.553,20.87055556
2024-03-08 07:00:00,43.433,31.8205,33.251,30.39,60.609,60.707,60.511,48.214,49.605,46.823,755.237,22.07388889
2024-03-08 08:00:00,41.284,31.0125,32.346,29.679,58.823,58.829,58.817,47.073,48.377,45.769,755.696,22.95333333
2024-03-08 09:00:00,38.3,27.441,28.792,26.09,50.2235,50.772,49.675,40.969,42.383,39.555,755.702,24.30555556
2024-03-08 10:00:00,34.041,24.493,25.637,23.349,42.535,42.633,42.437,35.809,36.989,34.629,755.432,25.75944444
2024-03-08 11:00:00,31.975,24.764,26.081,23.447,43.141,43.945,42.337,36.2355,37.814,34.657,754.795,27.26388889
2024-03-08 12:00:00,26.175,24.7825,26.091,23.474,42.624,43.216,42.032,35.856,37.25,34.462,753.983,30.35166667
2024-03-08 13:00:00,28.217,24.4795,25.771,23.188,42.1305,42.763,41.498,35.53,36.93,34.13,753.407,28.83333333
2024-03-08 14:00:00,31.6,20.446,21.741,19.151,32.2825,33.168,31.397,29.2735,30.799,27.748,753.019,26.87055556
2024-03-08 15:00:00,26.767,20.8445,22.06,19.629,32.467,33.492,31.442,29.6525,31.175,28.13,752.231,29.25888889
2024-03-08 16:00:00,29.875,21.636,22.738,20.534,34.794,35.361,34.227,31.211,32.45,29.972,752.12,27.53666667
2024-03-08 17:00:00,31.933,21.556,22.625,20.487,34.9545,35.224,34.685,31.308,32.352,30.264,752.409,26.51833333
2024-03-08 18:00:00,34.855,22.786,23.931,21.641,38.9085,39.478,38.339,33.4235,34.737,32.11,752.943,25.10222222
2024-03-08 19:00:00,36.066,22.497,23.724,21.27,38.489,39.019,37.959,33.096,34.519,31.673,753.734,24.35222222
2024-03-08 20:00:00,35.567,20.7115,21.992,19.431,33.3355,34.085,32.586,30.125,31.541,28.709,754.421,24.29611111
2024-03-08 21:00:00,35.617,20.7085,21.87,19.547,33.2905,33.734,32.847,30.0195,31.335,28.704,754.938,24.08333333
2024-03-08 22:00:00,38.267,23.3165,24.45,22.183,40.8905,40.925,40.856,34.518,35.663,33.373,755.164,23.85222222
2024-03-08 23:00:00,37.3,22.3815,23.534,21.229,38.327,38.977,37.677,33.1615,34.474,31.849,755.089,23.85222222
2024-03-09 00:00:00,39.067,21.8595,23.087,20.632,36.532,37.371,35.693,32.055,33.555,30.555,754.605,23.53722222
2024-03-09 01:00:00,39.767,19.413,20.498,18.328,30.423,30.457,30.389,28.1395,29.235,27.044,754.182,22.90722222
2024-03-09 02:00:00,40.808,19.952,21.164,18.74,31.63,32.305,30.955,29.117,30.432,27.802,753.744,22.38888889
2024-03-09 03:00:00,40.6,18.25,19.584,16.916,28.6495,29.023,28.276,26.637,28.126,25.148,753.379,22.27777778
2024-03-09 04:00:00,41.075,17.873,19.351,16.395,27.5335,28.3,26.767,25.8645,27.477,24.252,753.397,22.16666667
2024-03-09 05:00:00,41.767,17.3975,18.798,15.997,26.8445,27.617,26.072,25.042,26.64,23.444,753.696,21.75888889
2024-03-09 06:00:00,42.034,18.7775,20.298,17.257,29.4,30.13,28.67,26.992,28.715,25.269,754.161,21.66666667
2024-03-09 07:00:00,39.4,16.2495,17.67,14.829,24.429,25.535,23.323,22.7905,24.341,21.24,754.779,22.59277778
2024-03-09 08:00:00,39.733,18.1995,19.628,16.771,27.9335,28.396,27.471,25.6665,27.136,24.197,755.255,23.25944444
2024-03-09 09:00:00,38.867,18.638,20.033,17.243,29.917,30.626,29.208,26.618,28.235,25.001,755.579,23.64833333
2024-03-09 10:00:00,44.534,18.1525,19.639,16.666,29.427,30.265,28.589,25.842,27.496,24.188,755.76,23.14833333
2024-03-09 11:00:00,42.8,12.512,13.92,11.104,17.98,19.096,16.864,16.9105,18.416,15.405,755.312,23.57388889
2024-03-09 12:00:00,37.633,14.766,16.13,13.402,21.352,22.213,20.491,19.804,21.369,18.239,754.438,24.5
2024-03-09 13:00:00,34.2,12.981,14.29,11.672,17.728,18.752,16.704,16.8325,18.195,15.47,753.511,25.66666667
2024-03-09 14:00:00,35.983,11.092,12.157,10.027,15.2435,16.118,14.369,14.407,15.602,13.212,753.118,24.755
2024-03-09 15:00:00,39.266,7.897,8.953,6.841,11.311,12.277,10.345,10.394,11.563,9.225,752.816,24.16666667
