date,NO2 1-Hour Mean Concentration Calibrated [ppb],NO2 1-Hour Mean Concentration Raw [ppb],PM1 1-Hour Mean Mass Concentration Raw [ug/m3],PM10 1-Hour Mean Mass Concentration Raw [ug/m3],PM2.5 1-Hour Mean Mass Concentration Raw [ug/m3],PM2.5 NowCast AQI (US EPA),PM2.5 NowCast Mass Concentration [ug/m3],humidity,latitude,longitude,pm1.0_atm,pm1.0_atm_a,pm1.0_atm_b,pm10.0_atm,pm10.0_atm_a,pm10.0_atm_b,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b,pressure,temperature
,,21.12,51.08,103.25,79.95,121.0,43.51,70.31,4.691607,-74.083759,,,,,,,45.75,,,,14.63
,,27.99,21.96,46.56,35.11,66.0,19.44,70.63,4.691607,-74.083759,,,,,,,21.68,,,,17.12
,,25.61,24.45,54.52,39.88,78.0,24.98,73.07,4.691607,-74.083759,,,,,,,24.24,,,,17.08
,,32.63,18.4,39.46,30.83,75.0,23.29,75.3,4.691607,-74.083759,,,,,,,19.39,,,,15.98
,,26.4,20.55,50.09,35.55,69.0,20.52,74.68,4.691607,-74.083759,,,,,,,21.92,,,,15.39
,,25.09,13.74,27.39,21.01,55.0,14.16,70.58,4.691607,-74.083759,,,,,,,14.12,,,,14.35
,,19.55,33.87,79.5,56.71,87.0,29.05,73.1,4.691607,-74.083759,,,,,,,33.28,,,,14.84
,,33.45,31.34,71.77,51.71,85.0,28.03,70.88,4.691607,-74.083759,,,,,,,30.59,,,,16.35
,,28.9,34.5,75.97,55.11,91.0,31.11,73.47,4.691607,-74.083759,,,,,,,32.42,,,,15.77
,,31.57,31.58,70.5,50.72,101.0,35.48,73.15,4.691607,-74.083759,,,,,,,30.06,,,,16.22
,,28.18,17.08,31.98,25.28,74.0,23.06,77.14,4.691607,-74.083759,,,,,,,16.41,,,,14.64
,,28.45,30.28,67.06,49.27,95.0,33.01,80.14,4.691607,-74.083759,,,,,,,29.28,,,,14.24
,,24.13,20.93,40.81,31.91,64.0,18.26,72.82,4.691607,-74.083759,,,,,,,19.97,,,,15.57
,,24.36,21.57,45.63,35.33,80.0,25.68,71.63,4.691607,-74.083759,,,,,,,21.8,,,,16.79
,,29.95,13.59,29.18,22.27,61.0,16.87,73.79,4.691607,-74.083759,,,,,,,14.79,,,,16.24
,,34.63,13.52,27.65,21.37,62.0,17.45,76.45,4.691607,-74.083759,,,,,,,14.31,,,,15.53
,,33.77,27.09,59.63,43.99,85.0,28.41,76.34,4.691607,-74.083759,,,,,,,26.45,,,,15.64
,,31.39,25.37,54.92,41.33,79.0,25.63,76.17,4.691607,-74.083759,,,,,,,25.02,,,,16.96
,,4.12,2.14,4.87,3.4,31.0,7.34,51.95,4.691607,-74.083759,,,,,,,4.66,,,,16.32
,,31.51,25.34,47.62,37.43,67.0,19.89,75.46,4.691607,-74.083759,,,,,,,22.93,,,,15.23
,,28.24,27.03,61.97,43.78,81.0,26.2,79.68,4.691607,-74.083759,,,,,,,26.34,,,,14.42
,,29.36,26.2,57.37,41.99,87.0,29.36,78.68,4.691607,-74.083759,,,,,,,25.38,,,,15.31
,,27.63,21.06,45.34,34.54,85.0,28.22,77.02,4.691607,-74.083759,,,,,,,21.38,,,,14.82
,,27.62,14.66,27.75,22.81,65.0,18.52,67.56,4.691607,-74.083759,,,,,,,15.08,,,,15.84
,,24.09,23.39,48.76,37.19,71.0,21.81,69.62,4.691607,-74.083759,,,,,,,22.8,,,,15.87
,,28.66,13.06,25.23,20.0,52.0,12.56,69.13,4.691607,-74.083759,,,,,,,13.57,,,,14.57
,,30.29,21.31,43.68,31.92,61.0,16.79,62.79,4.691607,-74.083759,,,,,,,19.97,,,,14.47
,,20.61,16.67,32.61,25.42,64.0,18.13,61.96,4.691607,-74.083759,,,,,,,16.48,,,,15.6
,,36.5,24.45,51.21,38.28,74.0,23.19,72.6,4.691607,-74.083759,,,,,,,23.38,,,,15.32
,,36.32,19.75,49.34,30.97,63.0,17.85,66.8,4.691607,-74.083759,,,,,,,19.46,,,,14.78
,,36.02,22.58,49.82,35.23,67.0,19.79,63.41,4.691607,-74.083759,,,,,,,21.75,,,,12.78
,,11.77,29.85,68.84,46.64,83.0,27.22,53.93,4.691607,-74.083759,,,,,,,27.87,,,,13.75
,,17.58,30.23,68.07,49.19,83.0,27.54,67.28,4.691607,-74.083759,,,,,,,29.24,,,,16.42
,,29.5,21.79,47.81,35.35,72.0,22.03,68.13,4.691607,-74.083759,,,,,,,21.81,,,,15.62
,,21.51,12.45,25.45,19.53,58.0,15.48,67.46,4.691607,-74.083759,,,,,,,13.32,,,,15.89
,,26.04,19.62,41.02,30.95,78.0,24.72,68.63,4.691607,-74.083759,,,,,,,19.45,,,,15.99
,,23.97,21.19,44.82,33.72,67.0,19.55,73.0,4.691607,-74.083759,,,,,,,20.94,,,,15.16
,,31.68,26.41,58.87,41.97,74.0,23.12,80.61,4.691607,-74.083759,,,,,,,25.37,,,,13.56
,,32.94,22.7,50.2,36.12,66.0,19.12,76.29,4.691607,-74.083759,,,,,,,22.23,,,,14.36
