date,humidity,pm1.0_atm,pm1.0_atm_a,pm1.0_atm_b,pm10.0_atm,pm10.0_atm_a,pm10.0_atm_b,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b,pressure,temperature
2024-03-05 08:00:00,50.333333333333336,27.683333333333334,,27.14333333333333,54.26666666666667,,49.88333333333333,41.49666666666667,,39.46666666666667,736.4933333333333,22.77777777777778
2024-03-05 09:00:00,38.65,27.1365,27.076,27.197,48.567,49.282,47.852,38.4695,38.909,38.03,736.483,25.79166667
2024-03-05 10:00:00,33.066,27.3965,27.369,27.424,47.4875,48.645,46.33,38.2845,38.974,37.595,736.115,27.55555556
2024-03-05 11:00:00,28.733,25.7725,25.803,25.742,43.07,44.213,41.927,35.326,35.96,34.692,735.678,29.33333333
2024-03-05 12:00:00,25.867,27.4515,27.532,27.371,46.02,47.288,44.752,37.3125,38.061,36.564,734.988,30.81444444
2024-03-05 13:00:00,24.1,25.781,25.891,25.671,41.713,43.123,40.303,34.625,35.32,33.93,733.984,31.53722222
2024-03-05 14:00:00,24.533,26.6205,26.752,26.489,43.5685,45.087,42.05,35.6865,36.521,34.852,733.188,31.05555556
2024-03-05 15:00:00,24.966,28.137,28.484,27.79,47.1135,48.648,45.579,37.962,38.907,37.017,732.611,30.64777778
2024-03-05 16:00:00,27.848,31.154,31.703,30.605,54.0945,55.746,52.443,42.379,43.485,41.273,732.649,29.28555556
2024-03-05 17:00:00,31.989,32.4925,32.907,32.078,57.762,59.264,56.26,45.0435,46.028,44.059,733.082,27.12
2024-03-05 18:00:00,33.967,30.792,30.837,30.747,56.3145,57.526,55.103,43.4885,44.122,42.855,733.625,26.0
2024-03-05 19:00:00,34.633,31.0705,31.003,31.138,57.912,58.652,57.172,44.16,44.631,43.689,734.278,25.42611111
2024-03-05 20:00:00,34.0,32.122,32.168,32.076,60.875,61.746,60.004,46.0795,46.702,45.457,734.844,24.92611111
2024-03-05 21:00:00,33.584,27.9565,27.931,27.982,51.308,52.201,50.415,39.7825,40.352,39.213,735.018,24.13
2024-03-05 22:00:00,35.416,27.352,27.507,27.197,50.3975,51.57,49.225,39.192,39.95,38.434,735.465,23.00888889
2024-03-05 23:00:00,36.4,29.799,29.886,29.712,58.1325,58.864,57.401,43.3875,43.955,42.82,735.438,23.12944444
2024-03-06 00:00:00,36.867,28.1815,28.121,28.242,51.532,52.44,50.624,40.444,40.927,39.961,734.887,23.22222222
2024-03-06 01:00:00,36.1,28.321,28.244,28.398,51.503,52.474,50.532,40.676,41.164,40.188,734.353,23.38888889
2024-03-06 02:00:00,34.8,25.2785,25.193,25.364,43.4045,44.569,42.24,35.448,35.957,34.939,733.679,23.12944444
2024-03-06 03:00:00,38.733,34.118,34.32,33.916,65.077,66.122,64.032,49.6055,50.535,48.676,733.703,20.59277778
2024-03-06 04:00:00,38.1,32.5175,32.498,32.537,63.7835,64.568,62.999,48.1295,48.694,47.565,733.83,20.42611111
2024-03-06 05:00:00,37.4,30.279,30.122,30.436,59.743,60.207,59.279,44.656,44.909,44.403,734.131,20.79611111
2024-03-06 06:00:00,38.534,29.189,29.037,29.341,56.512,57.237,55.787,42.877,43.21,42.544,734.853,21.25944444
2024-03-06 07:00:00,36.322,28.0685,28.089,28.048,53.6795,54.559,52.8,40.866,41.459,40.273,735.641,22.64944444
2024-03-06 08:00:00,31.267,25.9415,26.0,25.883,45.4225,46.567,44.278,36.4475,37.139,35.756,735.981,25.18555556
2024-03-06 09:00:00,26.466,25.476,25.655,25.297,42.6005,44.698,40.503,35.107,36.102,34.112,736.225,27.92611111
2024-03-06 10:00:00,22.867,22.9015,22.933,22.87,36.575,37.963,35.187,31.137,31.858,30.416,735.946,29.74055556
2024-03-06 11:00:00,20.5,22.2525,22.424,22.081,34.5375,36.27,32.805,30.079,30.963,29.195,735.24,31.185
2024-03-06 12:00:00,18.666,20.456,20.561,20.351,29.4085,30.345,28.472,26.358,27.091,25.625,734.496,32.0
2024-03-06 13:00:00,18.267,21.157,21.376,20.938,30.3645,32.023,28.706,27.555,28.724,26.386,733.571,32.315
2024-03-06 14:00:00,19.2,22.938,23.045,22.831,34.7915,36.044,33.539,30.638,31.355,29.921,732.921,32.09277778
2024-03-06 15:00:00,19.834,23.561,23.749,23.373,37.338,38.88,35.796,31.7395,32.566,30.913,732.488,30.92611111
2024-03-06 16:00:00,24.0,26.691,26.866,26.516,45.183,46.784,43.582,36.464,37.365,35.563,732.533,30.09277778
2024-03-06 17:00:00,25.667,29.9145,30.127,29.702,54.849,56.372,53.326,42.0195,42.892,41.147,733.264,28.46277778
2024-03-06 18:00:00,27.6,28.7875,28.777,28.798,50.7675,52.107,49.428,40.242,40.932,39.552,734.01,26.94444444
2024-03-06 19:00:00,29.767,30.7995,30.593,31.006,56.171,57.112,55.23,43.5705,43.971,43.17,734.975,26.0
2024-03-06 20:00:00,32.133,35.449,35.448,35.45,66.332,67.169,65.495,50.7075,51.396,50.019,735.911,25.35166667
2024-03-06 21:00:00,34.459,32.404,32.043,32.765,60.3365,60.757,59.916,46.258,46.361,46.155,736.396,24.52333333
2024-03-06 22:00:00,33.767,30.651,30.229,31.073,57.787,58.065,57.509,44.006,44.055,43.957,736.492,23.96277778
2024-03-06 23:00:00,33.067,28.8395,28.514,29.165,54.4495,54.799,54.1,41.605,41.695,41.515,736.208,23.27777778
2024-03-07 00:00:00,31.5,28.332,28.126,28.538,55.8135,56.209,55.418,41.426,41.484,41.368,735.62,22.685
2024-03-07 01:00:00,33.567,29.2185,28.879,29.558,57.079,57.35,56.808,42.894,42.873,42.915,735.265,22.37055556
2024-03-07 02:00:00,35.6,30.294,30.032,30.556,59.367,59.93,58.804,44.4595,44.647,44.272,734.674,22.18555556
2024-03-07 03:00:00,33.233,31.5755,31.463,31.688,66.1045,66.695,65.514,47.3465,47.727,46.966,734.336,21.51833333
2024-03-07 04:00:00,33.367,30.632,30.401,30.863,61.098,61.493,60.703,45.5305,45.745,45.316,734.671,20.94444444
