date,humidity,pm1.0_atm,pm1.0_atm_a,pm1.0_atm_b,pm10.0_atm,pm10.0_atm_a,pm10.0_atm_b,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b,pressure,temperature
2024-03-11 09:00:00,44.0,21.6885,21.3,22.077,33.91,33.95,33.87,29.917,29.277,30.557,755.377,25.37055556
2024-03-11 10:00:00,41.375,21.0095,20.456,21.563,31.524,31.341,31.707,27.8375,27.116,28.559,755.428,25.27777778
2024-03-11 11:00:00,39.889,21.793,21.167,22.419,32.486,32.206,32.766,29.0685,28.328,29.809,754.975,25.64833333
2024-03-11 12:00:00,42.086,23.8455,23.316,24.375,38.0695,37.849,38.29,32.662,31.971,33.353,754.286,25.71888889
2024-03-11 13:00:00,41.334,23.8475,23.432,24.263,38.1695,38.057,38.282,32.947,32.286,33.608,753.533,25.26222222
2024-03-11 14:00:00,36.628,23.9075,23.282,24.533,38.5015,38.052,38.951,33.008,32.105,33.911,752.848,26.60666667
2024-03-11 15:00:00,34.428,22.0495,21.437,22.662,33.783,33.361,34.205,30.087,29.242,30.932,752.295,27.06277778
2024-03-11 16:00:00,34.341,20.517,19.989,21.045,30.0,29.814,30.186,27.406,26.551,28.261,751.975,26.81944444
2024-03-11 17:00:00,36.966,17.1795,16.671,17.688,24.455,24.413,24.497,22.39,21.827,22.953,752.37,25.5
2024-03-11 18:00:00,39.2,21.2695,20.768,21.771,33.438,33.315,33.561,29.3835,28.644,30.123,753.116,24.83333333
2024-03-11 19:00:00,40.334,21.7955,21.238,22.353,33.8315,33.466,34.197,30.2335,29.435,31.032,753.837,24.44444444
2024-03-11 20:00:00,40.817,20.5445,20.014,21.075,30.402,29.997,30.807,27.863,26.945,28.781,754.333,24.20333333
2024-03-11 21:00:00,39.633,19.905,19.449,20.361,29.6045,29.142,30.067,27.009,26.108,27.91,754.682,23.61111111
2024-03-11 22:00:00,40.025,20.3245,19.928,20.721,30.622,30.616,30.628,27.8275,27.257,28.398,754.806,23.23444444
2024-03-11 23:00:00,40.166,20.1115,19.88,20.343,29.296,29.575,29.017,27.159,26.79,27.528,754.764,23.18388889
2024-03-12 00:00:00,40.123,20.495,20.378,20.612,30.2955,30.633,29.958,28.0745,27.84,28.309,754.566,23.03388889
2024-03-12 01:00:00,41.477,22.4535,22.052,22.855,35.938,36.356,35.52,31.3895,30.87,31.909,753.989,22.70666667
2024-03-12 02:00:00,41.808,23.3585,23.066,23.651,39.1855,39.461,38.91,33.109,32.553,33.665,753.467,22.06
2024-03-12 03:00:00,41.986,22.186,21.905,22.467,34.9615,35.081,34.842,31.0285,30.527,31.53,753.406,21.72222222
2024-03-12 04:00:00,40.786,21.1645,20.902,21.427,32.175,32.308,32.042,29.112,28.642,29.582,753.389,21.69722222
2024-03-12 05:00:00,40.945,22.606,22.249,22.963,35.7125,35.849,35.576,31.322,30.554,32.09,753.493,21.85222222
2024-03-12 06:00:00,39.35,20.9185,20.533,21.304,31.538,31.316,31.76,28.6005,27.757,29.444,753.774,22.27777778
2024-03-12 07:00:00,37.7,20.833,20.399,21.267,31.588,31.631,31.545,28.2115,27.62,28.803,754.385,23.42611111
2024-03-12 08:00:00,36.861,20.9035,20.506,21.301,31.6675,31.376,31.959,28.319,27.617,29.021,755.094,24.05833333
2024-03-12 09:00:00,34.5,22.7635,22.002,23.525,36.0135,35.49,36.537,31.485,30.498,32.472,755.213,25.55555556
2024-03-12 10:00:00,33.688,22.8215,22.374,23.269,37.115,36.785,37.445,31.8265,31.066,32.587,754.897,26.605
2024-03-12 11:00:00,32.688,25.0895,24.379,25.8,43.2915,42.858,43.725,35.093,34.063,36.123,754.454,27.74111111
2024-03-12 12:00:00,35.233,25.8095,25.133,26.486,43.63,43.148,44.112,36.0245,35.033,37.016,753.897,25.99944444
2024-03-12 13:00:00,36.208,26.4945,25.813,27.176,45.423,44.974,45.872,37.1665,36.139,38.194,753.254,25.67166667
2024-03-12 14:00:00,34.691,26.86,26.289,27.431,46.431,46.046,46.816,37.8875,36.911,38.864,752.444,26.61111111
2024-03-12 15:00:00,36.267,24.736,24.025,25.447,41.669,41.306,42.032,34.509,33.597,35.421,752.22,25.83333333
2024-03-12 16:00:00,37.008,23.7485,23.02,24.477,37.887,37.171,38.603,32.5875,31.619,33.556,752.341,25.84277778
2024-03-12 17:00:00,38.541,26.752,26.152,27.352,46.081,45.786,46.376,37.5485,36.564,38.533,752.577,25.25
2024-03-12 18:00:00,40.55,29.0385,28.512,29.565,51.474,51.501,51.447,41.583,40.784,42.382,752.603,24.24055556
2024-03-12 19:00:00,41.5,29.3895,28.949,29.83,52.805,52.959,52.651,42.5705,41.858,43.283,753.162,23.64777778
2024-03-12 20:00:00,38.267,25.459,24.953,25.965,44.028,44.077,43.979,36.316,35.569,37.063,753.697,24.185
2024-03-12 21:00:00,39.525,27.655,27.364,27.946,48.7255,49.236,48.215,39.627,39.077,40.177,754.132,23.70333333
2024-03-12 22:00:00,40.633,28.8555,28.317,29.394,51.5515,51.495,51.608,41.6005,40.73,42.471,754.505,23.35222222
2024-03-12 23:00:00,43.003,30.2695,29.87,30.669,54.71,54.916,54.504,44.1055,43.478,44.733,754.192,22.745
2024-03-13 00:00:00,42.8,28.8565,28.568,29.145,50.9265,51.239,50.614,41.6885,41.214,42.163,753.96,22.94
2024-03-13 01:00:00,42.25,27.6615,27.224,28.099,48.149,48.07,48.228,39.515,38.714,40.316,753.341,23.24111111
2024-03-13 02:00:00,41.8,28.4405,28.005,28.876,49.4655,49.484,49.447,40.507,39.772,41.242,753.09,23.12944444
2024-03-13 03:00:00,41.93,24.7495,24.39,25.109,41.2905,41.716,40.865,34.744,34.29,35.198,752.834,22.88277778
