date,humidity,pm1.0_atm,pm1.0_atm_a,pm1.0_atm_b,pm10.0_atm,pm10.0_atm_a,pm10.0_atm_b,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b,pressure,temperature
2022-08-11 12:00:00,36.467,0.003,0.0,0.006,0.066,0.103,0.029,0.019,0.019,0.019,754.468,22.88888889
2022-08-11 13:00:00,34.15,0.002,0.004,0.0,0.322,0.432,0.212,0.2135,0.309,0.118,753.8,24.11555556
2022-08-11 14:00:00,33.833,0.0005,0.0,0.001,0.2755,0.451,0.1,0.1275,0.232,0.023,753.32,23.70388889
2022-08-11 15:00:00,34.133,0.0675,0.059,0.076,0.653,0.804,0.502,0.4505,0.554,0.347,752.781,23.185
2022-08-11 16:00:00,35.584,0.054,0.037,0.071,0.8395,1.098,0.581,0.6015,0.82,0.383,752.456,22.13
2022-08-11 17:00:00,39.3,0.274,0.267,0.281,1.856,2.415,1.297,1.5315,1.996,1.067,752.819,20.27777778
2022-08-11 18:00:00,44.466,0.6785,0.602,0.755,3.2925,3.748,2.837,2.851,3.216,2.486,753.5,18.185
2022-08-11 19:00:00,49.5,3.916,3.825,4.007,9.379,10.831,7.927,8.042,8.924,7.16,754.462,17.11111111
2022-08-11 20:00:00,51.333,2.899,2.678,3.12,6.971,8.084,5.858,6.102,6.819,5.385,755.293,16.20333333
2022-08-11 21:00:00,51.4,5.566,5.259,5.873,12.6995,14.01,11.389,11.2235,12.058,10.389,755.608,16.24055556
2022-08-11 22:00:00,48.867,3.9605,3.923,3.998,9.04,10.142,7.938,8.005,8.919,7.091,756.062,16.44444444
2022-08-11 23:00:00,53.733,3.955,3.955,3.955,8.7415,9.909,7.574,7.851,8.891,6.811,755.977,16.29666667
2022-08-12 00:00:00,60.5,6.352,6.278,6.426,14.5045,16.311,12.698,12.9685,14.313,11.624,755.575,15.24055556
2022-08-12 01:00:00,61.666,6.147,5.987,6.307,14.117,16.011,12.223,12.5205,13.822,11.219,755.162,15.53722222
2022-08-12 02:00:00,60.8,6.822,6.465,7.179,14.634,15.962,13.306,13.346,14.297,12.395,754.658,15.57444444
2022-08-12 03:00:00,61.367,4.2615,4.08,4.443,8.663,9.488,7.838,7.965,8.602,7.328,754.567,15.22222222
2022-08-12 04:00:00,69.567,8.9955,8.534,9.457,18.1195,19.303,16.936,16.9095,17.906,15.913,754.516,14.0
2022-08-12 05:00:00,70.933,13.1455,12.279,14.012,22.731,23.559,21.903,21.5855,22.121,21.05,754.685,13.87
2022-08-12 06:00:00,69.067,20.359,19.774,20.944,33.738,34.688,32.788,30.211,30.489,29.933,755.192,14.51833333
2022-08-12 07:00:00,59.6,25.047,24.456,25.638,43.7985,44.749,42.848,36.7345,37.051,36.418,755.538,17.315
2022-08-12 08:00:00,39.067,27.0895,26.728,27.451,46.393,47.132,45.654,39.1125,39.429,38.796,755.634,24.5
2022-08-12 09:00:00,31.1,5.1065,4.908,5.305,9.4525,10.283,8.622,8.7335,9.466,8.001,755.515,26.68555556
2022-08-12 10:00:00,30.133,0.3045,0.314,0.295,1.9115,2.505,1.318,1.4715,1.873,1.07,755.235,26.29666667
2022-08-12 11:00:00,44.867,13.6855,12.773,14.598,20.632,20.498,20.766,19.954,19.765,20.143,754.98,21.94444444
2022-08-12 12:00:00,56.425,18.037,16.651,19.423,26.385,25.889,26.881,25.703,25.053,26.353,754.365,19.43055556
2022-08-12 13:00:00,59.2,15.4075,13.319,17.496,23.5715,23.173,23.97,22.915,22.301,23.529,753.745,19.03722222
2022-08-12 14:00:00,74.533,12.3565,10.695,14.018,21.068,20.647,21.489,20.3965,19.828,20.965,753.478,16.09277778
2022-08-12 15:00:00,71.534,6.662,5.889,7.435,13.689,13.601,13.777,12.7225,12.413,13.032,753.171,16.685
2022-08-12 16:00:00,65.767,6.5435,6.13,6.957,14.1165,15.133,13.1,12.8695,13.499,12.24,753.088,17.75888889
2022-08-12 17:00:00,67.4,6.3885,5.958,6.819,12.652,13.255,12.049,11.5105,11.991,11.03,753.243,17.03666667
2022-08-12 18:00:00,69.967,11.3525,10.783,11.922,19.9125,20.879,18.946,18.8035,19.654,17.953,753.609,16.315
2022-08-12 19:00:00,66.367,16.583,16.256,16.91,26.8095,27.656,25.963,24.835,25.439,24.231,754.262,16.66666667
2022-08-12 20:00:00,60.033,25.1655,24.712,25.619,44.5295,46.001,43.058,40.0465,40.797,39.296,754.736,17.46277778
2022-08-12 21:00:00,67.967,40.3665,39.671,41.062,73.7715,75.107,72.436,64.6935,65.529,63.858,755.268,16.0
2022-08-12 22:00:00,67.4,31.3825,30.335,32.43,54.5075,54.604,54.411,46.284,46.133,46.435,755.484,15.74055556
2022-08-13 11:00:00,61.966,14.8845,14.328,15.441,23.675,24.202,23.148,22.738,23.09,22.386,756.005,17.70388889
2022-08-13 12:00:00,57.534,8.2395,7.768,8.711,16.606,17.459,15.753,15.5205,16.114,14.927,755.255,20.0
2022-08-13 13:00:00,61.066,10.123,9.178,11.068,20.5845,20.933,20.236,19.889,20.102,19.676,754.471,18.74055556
2022-08-13 14:00:00,58.6,14.364,13.723,15.005,25.2865,25.777,24.796,24.1325,24.421,23.844,753.68,19.51833333
2022-08-13 15:00:00,63.867,8.56,7.523,9.597,19.179,19.285,19.073,18.551,18.452,18.65,753.047,18.315
2022-08-13 16:00:00,77.125,4.6795,4.21,5.149,10.8895,11.226,10.553,10.275,10.523,10.027,753.161,15.17111111
2022-08-13 17:00:00,77.841,6.7105,6.289,7.132,14.1465,15.076,13.217,13.333,14.084,12.582,753.653,15.19444444
2022-08-13 18:00:00,78.317,15.7175,14.688,16.747,26.338,26.86,25.816,25.158,25.39,24.926,754.151,15.18944444
2022-08-13 19:00:00,79.334,16.678,16.559,16.797,27.845,28.565,27.125,26.7345,27.3,26.169,754.448,15.0
2022-08-13 23:00:00,77.5,20.817,20.225,21.409,34.8065,35.654,33.959,31.587,32.224,30.95,755.706,15.69444444
2022-08-14 00:00:00,78.125,18.229,17.127,19.331,31.455,32.123,30.787,29.441,30.015,28.867,755.31,15.545
2022-08-14 01:00:00,77.392,8.3495,7.769,8.93,20.2675,21.229,19.306,18.909,19.951,17.867,754.805,14.97722222
2022-08-14 02:00:00,78.067,6.449,6.171,6.727,17.616,18.752,16.48,16.4195,17.453,15.386,754.341,14.64833333
2022-08-14 03:00:00,76.867,6.984,6.864,7.104,19.1075,20.215,18.0,17.8895,19.011,16.768,754.128,14.90777778
2022-08-14 04:00:00,76.566,9.3895,8.974,9.805,24.0675,25.361,22.774,22.526,23.453,21.599,754.178,14.88888889
2022-08-14 05:00:00,75.2,6.0575,5.872,6.243,17.63,18.896,16.364,16.1005,17.474,14.727,754.545,14.96277778
2022-08-14 06:00:00,74.367,3.1825,3.096,3.269,8.1885,9.188,7.189,7.4275,8.289,6.566,754.753,14.77777778
2022-08-14 07:00:00,60.692,6.9125,6.787,7.038,19.05,20.589,17.511,17.484,18.782,16.186,755.08,19.03222222
2022-08-14 08:00:00,53.283,7.993,7.87,8.116,20.7025,22.053,19.352,19.278,20.433,18.123,755.341,20.55555556
2022-08-14 09:00:00,41.467,5.802,5.741,5.863,13.9795,15.34,12.619,13.035,14.219,11.851,755.154,24.55555556
2022-08-14 10:00:00,41.367,0.595,0.597,0.593,1.4895,1.789,1.19,1.357,1.583,1.131,754.987,23.44444444
2022-08-14 11:00:00,37.233,0.0,0.0,0.0,0.0265,0.053,0.0,0.0055,0.011,0.0,754.287,25.33333333
2022-08-14 12:00:00,40.666,7.0605,6.542,7.579,12.533,12.628,12.438,11.6885,11.793,11.584,753.801,25.05555556
2022-08-14 13:00:00,62.5,18.609,17.419,19.799,31.6965,31.487,31.906,29.599,29.346,29.852,753.084,19.61111111
2022-08-14 14:00:00,46.034,2.932,2.742,3.122,5.3725,5.727,5.018,5.092,5.359,4.825,752.817,22.51833333
2022-08-14 15:00:00,51.267,0.268,0.317,0.219,1.809,2.364,1.254,1.479,1.988,0.97,753.039,19.66666667
