date,humidity,pm1.0_atm,pm1.0_atm_a,pm1.0_atm_b,pm10.0_atm,pm10.0_atm_a,pm10.0_atm_b,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b,pressure,temperature
2022-08-11 14:00:00,31.0,0.0,0.0,0.0,0.215,0.395,0.035,0.105,0.2,0.01,753.145,25.0
2022-08-11 15:00:00,31.6,0.4355,0.552,0.319,1.8325,2.029,1.636,1.5385,1.728,1.349,752.878,24.48111111
2022-08-11 16:00:00,33.091,0.143,0.23,0.056,1.384,1.622,1.146,1.1345,1.349,0.92,752.543,23.03666667
2022-08-11 17:00:00,36.733,1.5975,1.91,1.285,4.1995,4.574,3.825,3.859,4.22,3.498,752.889,20.92555556
2022-08-11 18:00:00,42.167,2.156,2.677,1.635,5.124,5.432,4.816,4.7025,5.062,4.343,753.513,18.62944444
2022-08-11 19:00:00,47.666,6.811,7.476,6.146,14.619,15.32,13.918,13.14,13.987,12.293,754.453,17.31444444
2022-08-11 20:00:00,49.834,11.6655,12.459,10.872,21.712,22.142,21.282,19.1205,19.59,18.651,755.343,16.46944444
2022-08-11 21:00:00,50.334,7.763,8.809,6.717,16.405,16.998,15.812,14.7425,15.709,13.776,755.632,16.16666667
2022-08-11 22:00:00,48.383,4.43,5.075,3.785,9.123,9.72,8.526,8.2175,8.893,7.542,756.105,16.38888889
2022-08-11 23:00:00,52.192,4.5145,5.178,3.851,9.9415,10.497,9.386,8.9865,9.622,8.351,755.984,16.05111111
2022-08-12 00:00:00,60.483,7.7905,8.892,6.689,17.5135,17.893,17.134,16.173,16.774,15.572,755.575,14.94444444
2022-08-12 01:00:00,60.733,6.626,7.269,5.983,15.3575,15.892,14.823,13.905,14.554,13.256,755.184,15.66666667
2022-08-12 02:00:00,59.859,8.05,9.104,6.996,17.232,17.528,16.936,15.6975,16.339,15.056,754.652,15.875
2022-08-12 03:00:00,59.267,4.145,4.566,3.724,8.986,9.238,8.734,7.9715,8.335,7.608,754.538,15.83333333
2022-08-12 04:00:00,62.2,11.2555,12.094,10.417,21.4205,21.569,21.272,20.093,20.489,19.697,754.476,15.43555556
2022-08-12 05:00:00,66.558,16.2475,17.445,15.05,27.285,27.901,26.669,25.5115,26.206,24.817,754.613,14.185
2022-08-12 06:00:00,67.466,23.4795,24.461,22.498,39.996,40.728,39.264,34.393,35.262,33.524,755.136,14.20388889
2022-08-12 07:00:00,62.834,26.597,27.555,25.639,47.392,47.981,46.803,39.3305,39.903,38.758,755.537,15.78666667
2022-08-12 08:00:00,50.8,29.552,30.337,28.767,52.3715,52.853,51.89,43.283,43.811,42.755,755.671,19.77777778
2022-08-12 09:00:00,39.367,5.6775,6.272,5.083,10.692,11.155,10.229,9.9705,10.476,9.465,755.619,22.74055556
2022-08-12 10:00:00,33.675,0.4435,0.559,0.328,1.923,2.172,1.674,1.6865,1.952,1.421,755.335,24.76388889
2022-08-12 11:00:00,36.533,12.335,12.93,11.74,19.22,19.576,18.864,18.3095,18.685,17.934,755.03,24.87055556
2022-08-12 12:00:00,42.7,17.3435,18.355,16.332,26.2,26.707,25.693,25.188,25.824,24.552,754.348,24.01833333
2022-08-12 13:00:00,42.2,14.859,16.096,13.622,23.8235,24.331,23.316,22.8725,23.431,22.314,753.722,24.68555556
2022-08-12 14:00:00,56.6,13.3095,14.459,12.16,22.3485,22.738,21.959,21.3,21.8,20.8,753.474,20.40722222
