date,humidity,pm1.0_atm,pm1.0_atm_a,pm1.0_atm_b,pm10.0_atm,pm10.0_atm_a,pm10.0_atm_b,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b,pressure,temperature
2024-03-14 13:00:00,33.091,22.3115,22.845,21.778,35.7075,37.321,34.094,31.6585,33.117,30.2,753.262,10.43229167
2024-03-14 14:00:00,32.034,22.571,23.306,21.836,36.1215,37.925,34.318,32.004,33.638,30.37,752.436,10.569375
2024-03-14 15:00:00,33.7,26.9485,27.73,26.167,47.236,48.927,45.545,39.3205,40.929,37.712,751.857,10.21520833
2024-03-14 16:00:00,33.9,27.5305,28.126,26.935,48.4375,49.994,46.881,40.3285,41.855,38.802,751.884,10.16666667
2024-03-14 17:00:00,36.3,26.925,27.578,26.272,47.2465,48.63,45.863,39.392,40.8,37.984,752.315,9.625
2024-03-14 18:00:00,38.567,26.597,27.401,25.793,46.89,48.66,45.12,39.196,40.869,37.523,752.652,9.236041667
2024-03-14 19:00:00,39.733,26.946,27.694,26.198,47.716,49.312,46.12,39.7955,41.298,38.293,753.18,9.048541667
2024-03-14 20:00:00,39.867,24.014,24.776,23.252,41.217,43.114,39.32,35.312,36.766,33.858,753.666,8.986041667
2024-03-14 21:00:00,42.233,27.0385,27.757,26.32,49.1725,50.913,47.432,40.7085,42.278,39.139,754.471,8.722291667
2024-03-14 22:00:00,40.533,25.855,26.66,25.05,45.7915,47.558,44.025,38.4775,40.087,36.868,755.031,8.765625
2024-03-14 23:00:00,38.9,22.806,23.438,22.174,38.412,40.563,36.261,33.6635,35.133,32.194,754.688,8.722291667
2024-03-15 00:00:00,39.133,25.4215,26.216,24.627,45.9405,47.688,44.193,38.093,39.655,36.531,754.055,8.770833333
2024-03-15 01:00:00,38.466,24.0565,24.858,23.255,41.979,43.932,40.026,35.494,37.011,33.977,753.418,8.875
2024-03-15 02:00:00,40.7,24.1625,25.026,23.299,42.5595,44.633,40.486,35.9995,37.639,34.36,752.508,8.284791667
2024-03-15 03:00:00,45.5,27.0115,27.879,26.144,50.1335,51.9,48.367,41.1285,42.758,39.499,752.465,7.5
2024-03-15 04:00:00,47.6,28.398,29.183,27.613,53.4445,55.156,51.733,43.564,45.025,42.103,753.062,7.284791667
2024-03-15 05:00:00,44.7,29.708,30.498,28.918,55.635,57.104,54.166,44.8975,46.413,43.382,753.653,7.659791667
2024-03-15 06:00:00,42.267,32.831,34.032,31.63,61.48,63.082,59.878,49.014,50.87,47.158,754.426,7.965208333
2024-03-15 07:00:00,43.3,33.774,34.873,32.675,64.0595,65.789,62.33,51.2355,53.3,49.171,755.012,7.861041667
2024-03-15 08:00:00,39.733,31.678,32.574,30.782,59.57,61.387,57.753,47.5695,49.242,45.897,755.235,8.458333333
2024-03-15 09:00:00,32.9,26.714,27.361,26.067,47.2695,48.691,45.848,39.408,40.831,37.985,755.087,9.520833333
2024-03-15 10:00:00,28.0,19.3715,20.031,18.712,28.513,29.792,27.234,26.755,28.107,25.403,754.635,10.29854167
2024-03-15 11:00:00,26.467,17.751,18.748,16.754,25.685,27.256,24.114,24.111,25.733,22.489,753.998,10.77770833
2024-03-15 12:00:00,24.166,15.043,15.851,14.235,21.34,22.654,20.026,20.223,21.562,18.884,753.124,11.27770833
2024-03-15 13:00:00,22.53,13.4555,14.185,12.726,18.7775,19.934,17.621,17.802,19.053,16.551,752.231,11.70541667
2024-03-15 14:00:00,22.8,13.7735,14.69,12.857,19.3875,20.754,18.021,18.255,19.665,16.845,751.307,11.694375
2024-03-15 15:00:00,24.666,17.0165,17.977,16.056,24.0925,25.553,22.632,22.618,24.16,21.076,750.963,11.23604167
2024-03-15 16:00:00,27.034,21.3545,22.197,20.512,33.1445,35.097,31.192,29.7715,31.624,27.919,750.979,11.00708333
2024-03-15 17:00:00,30.067,24.044,24.776,23.312,39.579,41.616,37.542,34.392,36.026,32.758,751.331,10.48625
2024-03-15 18:00:00,34.166,23.081,23.819,22.343,38.4275,40.394,36.461,33.385,34.85,31.92,751.958,9.6875
2024-03-15 19:00:00,36.825,23.1355,23.779,22.492,38.7005,40.412,36.989,33.718,35.074,32.362,752.84,9.298541667
2024-03-15 20:00:00,36.867,22.4165,23.085,21.748,36.574,38.556,34.592,32.5575,33.937,31.178,753.471,9.262291667
2024-03-15 21:00:00,39.2,24.0555,24.817,23.294,41.412,43.13,39.694,35.3225,36.758,33.887,753.877,8.840208333
2024-03-15 22:00:00,40.834,24.675,25.486,23.864,43.4385,45.431,41.446,36.587,38.175,34.999,754.27,8.611041667
