date,humidity,pm1.0_atm,pm1.0_atm_a,pm1.0_atm_b,pm10.0_atm,pm10.0_atm_a,pm10.0_atm_b,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b,pressure,temperature
2024-03-05 10:00:00,38.6,25.599,25.244,25.954,44.5725,45.392,43.753,36.771,36.91,36.632,749.311,25.89833333
2024-03-05 11:00:00,33.367,23.302,22.833,23.771,37.908,38.844,36.972,32.883,32.947,32.819,748.774,26.45666667
2024-03-05 12:00:00,,,,,,,,,,,,
2024-03-05 13:00:00,,,,,,,,,,,,
2024-03-05 14:00:00,,,,,,,,,,,,
2024-03-05 15:00:00,23.541,23.583,23.082,24.084,36.8155,37.636,35.995,32.1235,32.361,31.886,745.432,32.20333333
2024-03-05 16:00:00,32.486,28.492,28.194,28.79,50.598,51.659,49.537,40.5935,40.798,40.389,745.489,29.19611111
2024-03-05 17:00:00,32.167,28.8495,28.562,29.137,51.3165,52.269,50.364,41.4015,41.558,41.245,745.968,26.95833333
2024-03-05 18:00:00,37.167,31.2025,30.793,31.612,55.9185,56.496,55.341,44.761,44.813,44.709,746.591,24.51833333
2024-03-05 19:00:00,40.267,31.138,30.766,31.51,55.9225,56.87,54.975,44.8285,45.035,44.622,747.323,23.37055556
2024-03-05 20:00:00,39.567,31.3855,31.035,31.736,57.4325,58.317,56.548,45.6195,45.73,45.509,748.001,23.20388889
2024-03-05 21:00:00,39.333,29.127,28.895,29.359,52.6675,53.866,51.469,42.3305,42.646,42.015,748.246,21.98166667
2024-03-05 22:00:00,39.3,30.3355,30.169,30.502,56.1015,57.136,55.067,44.701,45.006,44.396,748.692,21.13
2024-03-05 23:00:00,41.6,29.437,29.317,29.557,53.701,55.141,52.261,43.1285,43.684,42.573,748.721,20.35166667
2024-03-06 00:00:00,40.666,29.1055,28.812,29.399,53.855,54.992,52.718,43.0055,43.209,42.802,748.226,20.88888889
2024-03-06 01:00:00,40.666,27.676,27.405,27.947,50.2575,51.219,49.296,40.591,40.797,40.385,747.658,20.48166667
2024-03-06 02:00:00,39.7,29.3685,29.257,29.48,56.5125,57.844,55.181,44.2455,44.644,43.847,747.006,19.685
2024-03-06 03:00:00,39.6,27.261,26.957,27.565,50.5365,51.323,49.75,40.2335,40.295,40.172,746.997,19.58333333
2024-03-06 04:00:00,41.234,30.9455,30.818,31.073,59.0135,60.32,57.707,46.4715,47.004,45.939,747.139,18.72222222
2024-03-06 05:00:00,41.567,28.4175,28.096,28.739,53.249,54.12,52.378,42.085,42.136,42.034,747.428,18.44444444
2024-03-06 06:00:00,45.433,27.837,27.682,27.992,51.2345,52.626,49.843,41.173,41.53,40.816,748.111,18.38888889
2024-03-06 07:00:00,43.544,27.1795,26.998,27.361,49.0115,50.057,47.966,39.7785,40.107,39.45,748.885,19.92111111
2024-03-06 08:00:00,41.0,26.9475,26.915,26.98,48.6025,49.97,47.235,39.495,40.265,38.725,749.145,21.11111111
2024-03-06 09:00:00,36.475,24.6595,24.34,24.979,43.093,44.255,41.931,35.4745,35.713,35.236,749.341,24.52333333
2024-03-06 10:00:00,25.222,21.446,21.142,21.75,33.7415,34.451,33.032,29.6885,29.852,29.525,748.981,28.38277778
2024-03-06 11:00:00,21.741,20.153,19.862,20.444,30.604,31.334,29.874,27.2795,27.478,27.081,748.174,30.45333333
2024-03-06 12:00:00,19.09,19.343,18.933,19.753,26.974,27.044,26.904,24.964,24.941,24.987,747.436,32.82055556
2024-03-06 13:00:00,16.333,18.995,18.377,19.613,25.6635,25.68,25.647,24.3965,24.463,24.33,746.583,33.70388889
2024-03-06 14:00:00,16.897,21.386,21.002,21.77,31.125,31.77,30.48,28.349,28.395,28.303,745.584,34.47833333
